iter	Logloss
0	0.6793200363
1	0.6663665865
2	0.6549861244
3	0.6449082985
4	0.6357679137
5	0.6277905646
6	0.620649906
7	0.6142787659
8	0.6085410202
9	0.6034771033
10	0.5987172708
11	0.5946304445
12	0.5915682842
13	0.5883568775
14	0.5852307234
15	0.5824361447
16	0.5800107357
17	0.5778635403
18	0.5760523749
19	0.5741888662
20	0.5725960235
21	0.5709887665
22	0.5697503557
23	0.5685015373
24	0.5674009978
25	0.5664095377
26	0.5654477603
27	0.564650946
28	0.564004366
29	0.5633427839
30	0.5625977106
31	0.5619764104
32	0.5613768188
33	0.5608462488
34	0.5603030331
35	0.5597807332
36	0.5593290694
37	0.5589481111
38	0.5585641848
39	0.5581963988
40	0.5578949292
41	0.5576148865
42	0.5572612696
43	0.557012309
44	0.5567605414
45	0.5564882944
46	0.5562442622
47	0.5560006398
48	0.555743511
49	0.5555015453
50	0.5553051198
51	0.555159993
52	0.5549915803
53	0.5548534864
54	0.5546991702
55	0.5545124002
56	0.5543483024
57	0.5542034137
58	0.5540561302
59	0.5539130258
60	0.5537709118
61	0.5536442489
62	0.5535196559
63	0.5533964877
64	0.5532563781
65	0.5531259081
66	0.5530137908
67	0.5529203093
68	0.5527966256
69	0.5526982556
70	0.5526223794
71	0.5525455191
72	0.5524552043
73	0.5523573675
74	0.5522501313
75	0.5521734015
76	0.5520759977
77	0.5519747854
78	0.5518850505
79	0.5518072651
80	0.5516947109
81	0.5516506203
82	0.5515351457
83	0.5514885993
84	0.5514452723
85	0.5513727632
86	0.5512798277
87	0.5511866504
88	0.5511088873
89	0.5510512197
90	0.5509669619
91	0.5509023672
92	0.5508539984
93	0.5507731796
94	0.5507229152
95	0.5506789169
96	0.5506239328
97	0.550547735
98	0.5504753428
99	0.5504147192
100	0.5503158488
101	0.5502777184
102	0.5502058795
103	0.5501258365
104	0.5500684477
105	0.5500324967
106	0.5499453781
107	0.5499241933
108	0.549829901
109	0.5497815638
110	0.5497681025
111	0.5497040208
112	0.5496570462
113	0.5496168447
114	0.5495749584
115	0.5495169568
116	0.5494869019
117	0.5494595894
118	0.5493944488
119	0.5493518276
120	0.5493056108
121	0.5492366894
122	0.5491926642
123	0.5491233815
124	0.5490545571
125	0.5490168891
126	0.5489436857
127	0.5489102781
128	0.5488775393
129	0.5488382615
130	0.5487928187
131	0.5487517684
132	0.5487141748
133	0.54866711
134	0.5486050536
135	0.5485376282
136	0.5484870509
137	0.5484469649
138	0.5484192615
139	0.548387385
140	0.5483290092
141	0.5482803383
142	0.5482415109
143	0.5481896996
144	0.5481527877
145	0.5480822924
146	0.5480347413
147	0.5480069527
148	0.5479816462
149	0.5479327684
150	0.5478843524
151	0.5478588647
152	0.5478309762
153	0.5477980962
154	0.547764251
155	0.5477304926
156	0.5476511825
157	0.547598748
158	0.5475475543
159	0.5474958891
160	0.5474392136
161	0.5474210379
162	0.547396702
163	0.5473621467
164	0.5473200802
165	0.5472766671
166	0.5472283993
167	0.5471864496
168	0.5471416488
169	0.5470622298
170	0.5470267382
171	0.546977273
172	0.5469434827
173	0.5468849331
174	0.5468533585
175	0.546836633
176	0.5467724063
177	0.5467368933
178	0.5466742787
179	0.546636108
180	0.5465875864
181	0.5465422178
182	0.5465154754
183	0.5464595097
184	0.5464085842
185	0.5463700484
186	0.5463174226
187	0.5462693998
188	0.5462375789
189	0.5461686538
190	0.5460846839
191	0.5460399244
192	0.5459796395
193	0.5459407717
194	0.5459075886
195	0.5458842473
196	0.5458434185
197	0.5458395842
198	0.5458148792
199	0.5457714391
200	0.5457130959
201	0.545653838
202	0.5455796924
203	0.5455314809
204	0.5454633406
205	0.5454324806
206	0.5453867275
207	0.5453689418
208	0.545315557
209	0.545266492
210	0.5452120851
211	0.5451936567
212	0.5451611236
213	0.5451136412
214	0.5451016222
215	0.5450618539
216	0.5450155045
217	0.5449520666
218	0.544894931
219	0.5448424461
220	0.5448018319
221	0.5447722454
222	0.5446959072
223	0.5446454169
224	0.5446215909
225	0.5445659273
226	0.5445080242
227	0.5444702249
228	0.5444384232
229	0.5444099791
230	0.5443759274
231	0.5443179897
232	0.5442943709
233	0.5442574373
234	0.5442384013
235	0.5441844428
236	0.5441653194
237	0.5441193279
238	0.5440995686
239	0.5440601291
240	0.5440349993
241	0.5439775817
242	0.5439491607
243	0.5438995914
244	0.5438524264
245	0.5437975072
246	0.5437230434
247	0.5436500517
248	0.5436125031
249	0.543548355
250	0.5434765433
251	0.5434558511
252	0.5434222124
253	0.5433877032
254	0.5433399058
255	0.5432996478
256	0.543278708
257	0.5432375818
258	0.5431965296
259	0.5431243782
260	0.5430885321
261	0.5430374981
262	0.5429751336
263	0.5429313769
264	0.5429058872
265	0.54284642
266	0.5428024891
267	0.5427646627
268	0.5426784891
269	0.5426375688
270	0.5426001626
271	0.5425265199
272	0.5424788753
273	0.5424244742
274	0.5423633632
275	0.5423289395
276	0.5422996314
277	0.5422718993
278	0.5422375901
279	0.5421904917
280	0.5421509695
281	0.5421155825
282	0.5420674247
283	0.542026522
284	0.5419912649
285	0.5419341747
286	0.5418562634
287	0.5418263639
288	0.5417605039
289	0.5417199741
290	0.5416906604
291	0.5416175329
292	0.5415830865
293	0.5415359919
294	0.541496383
295	0.54146243
296	0.5414159529
297	0.5413772106
298	0.5413332762
299	0.5412799829
300	0.5412364142
301	0.5411957901
302	0.5411559675
303	0.5411284742
304	0.5410487389
305	0.5410192832
306	0.5409973183
307	0.5409284577
308	0.5409054509
309	0.5408646134
310	0.5408251586
311	0.5407845618
312	0.5407379629
313	0.5406907608
314	0.5406534838
315	0.5406047621
316	0.5405362918
317	0.5404606916
318	0.5404088246
319	0.5403778551
320	0.5403381371
321	0.5403106592
322	0.5402903077
323	0.5402379437
324	0.5401780082
325	0.5401133091
326	0.5400838787
327	0.5400345865
328	0.5399814075
329	0.5399094213
330	0.5398849512
331	0.5398501428
332	0.5398024081
333	0.5397561207
334	0.5397115904
335	0.5396979217
336	0.5396774828
337	0.5396024242
338	0.5395684813
339	0.5395242185
340	0.5394790525
341	0.5394563074
342	0.5394504067
343	0.5394365464
344	0.5394188896
345	0.5393554778
346	0.5392908723
347	0.5392590057
348	0.5392231596
349	0.5391728272
350	0.5391255374
351	0.5390951766
352	0.5390398673
353	0.5390030243
354	0.538966379
355	0.538954028
356	0.5389344258
357	0.5388987374
358	0.5388764737
359	0.5388423305
360	0.5388075557
361	0.5387638739
362	0.5387428617
363	0.5386880111
364	0.5386758735
365	0.5386313822
366	0.5385978035
367	0.5385503078
368	0.5385181024
369	0.538473284
370	0.538434674
371	0.5383760743
372	0.5383588202
373	0.5383219654
374	0.5382877328
375	0.538251178
376	0.5382195086
377	0.5382123365
378	0.5381810502
379	0.5381610399
380	0.538110309
381	0.5380855859
382	0.5380600527
383	0.5380145406
384	0.5379606985
385	0.5379156741
386	0.5379008815
387	0.5378299779
388	0.5377870014
389	0.5377410216
390	0.5377150504
391	0.5376519278
392	0.5376042014
393	0.5375642298
394	0.537495703
395	0.5374433003
396	0.5373968174
397	0.5373656288
398	0.5373194063
399	0.5372882213
400	0.5372549395
401	0.5371924163
402	0.5371713327
403	0.5371305988
404	0.5370854717
405	0.5370360526
406	0.5370115606
407	0.5369854713
408	0.5369210726
409	0.5368759517
