iter	Passed	Remaining
0	14	14302
1	25	12792
2	36	12248
3	48	11964
4	59	11839
5	71	11774
6	84	12026
7	96	11970
8	108	11910
9	119	11804
10	130	11705
11	142	11720
12	153	11688
13	164	11603
14	175	11509
15	187	11514
16	199	11525
17	210	11469
18	222	11503
19	234	11497
20	245	11453
21	258	11478
22	269	11465
23	281	11466
24	294	11470
25	305	11462
26	317	11454
27	329	11439
28	341	11431
29	353	11416
30	364	11379
31	375	11371
32	387	11343
33	398	11321
34	413	11394
35	428	11475
36	440	11453
37	452	11444
38	463	11427
39	474	11383
40	486	11368
41	497	11355
42	509	11337
43	519	11296
44	531	11279
45	544	11296
46	557	11299
47	570	11320
48	593	11517
49	610	11595
50	624	11616
51	637	11620
52	649	11606
53	662	11604
54	675	11598
55	687	11592
56	700	11581
57	712	11567
58	726	11581
59	739	11578
60	751	11571
61	770	11657
62	782	11639
63	795	11633
64	807	11619
65	820	11604
66	833	11605
67	845	11588
68	858	11582
69	871	11578
70	883	11555
71	896	11548
72	917	11644
73	929	11636
74	941	11615
75	955	11614
76	967	11603
77	980	11590
78	992	11574
79	1005	11562
80	1019	11565
81	1030	11541
82	1043	11524
83	1055	11507
84	1067	11487
85	1079	11471
86	1092	11461
87	1105	11454
88	1118	11449
89	1130	11433
90	1143	11425
91	1155	11408
92	1167	11390
93	1180	11373
94	1192	11363
95	1208	11381
96	1223	11393
97	1240	11421
98	1256	11432
99	1269	11426
100	1281	11404
101	1294	11392
102	1306	11380
103	1319	11367
104	1332	11354
105	1345	11347
106	1358	11339
107	1370	11323
108	1383	11312
109	1396	11298
110	1406	11264
111	1419	11257
112	1432	11245
113	1444	11229
114	1457	11212
115	1469	11195
116	1482	11186
117	1494	11167
118	1506	11153
119	1519	11139
120	1530	11120
121	1543	11107
122	1560	11126
123	1589	11231
124	1603	11222
125	1615	11204
126	1628	11197
127	1641	11180
128	1655	11180
129	1670	11176
130	1684	11171
131	1694	11143
132	1707	11129
133	1720	11117
134	1732	11103
135	1745	11091
136	1761	11093
137	1773	11079
138	1785	11059
139	1797	11039
140	1810	11027
141	1822	11011
142	1834	10993
143	1846	10976
144	1878	11078
145	1903	11133
146	1915	11112
147	1926	11092
148	1939	11078
149	1951	11058
150	1964	11044
151	1976	11026
152	1988	11008
153	2000	10991
154	2012	10973
155	2024	10955
156	2037	10940
157	2050	10925
158	2062	10908
159	2074	10891
160	2087	10876
161	2098	10857
162	2110	10839
163	2122	10821
164	2135	10804
165	2148	10796
166	2161	10779
167	2173	10765
168	2186	10752
169	2199	10739
170	2211	10722
171	2224	10707
172	2236	10689
173	2248	10675
174	2260	10657
175	2272	10638
176	2285	10626
177	2297	10610
178	2310	10597
179	2322	10582
180	2336	10572
181	2348	10555
182	2360	10538
183	2375	10535
184	2390	10531
185	2402	10512
186	2415	10500
187	2427	10486
188	2439	10469
189	2453	10457
190	2466	10445
191	2479	10433
192	2491	10417
193	2503	10400
194	2515	10385
195	2527	10369
196	2551	10400
197	2560	10372
198	2572	10354
199	2585	10341
200	2599	10331
201	2610	10311
202	2624	10303
203	2636	10286
204	2648	10272
205	2660	10252
206	2677	10255
207	2688	10235
208	2700	10219
209	2711	10200
210	2723	10184
211	2734	10164
212	2746	10147
213	2758	10130
214	2768	10109
215	2780	10091
216	2791	10071
217	2802	10054
218	2814	10036
219	2825	10018
220	2837	10001
